
> frontend@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000

✓ Starting...
✓ Ready in 651ms
 GET / 200 in 568ms (compile: 479ms, render: 89ms)
 GET / 200 in 45ms (compile: 5ms, render: 40ms)
 GET / 200 in 30ms (compile: 3ms, render: 27ms)
 GET /manifest.webmanifest 200 in 92ms (compile: 76ms, render: 16ms)
 GET /principal 200 in 36ms (compile: 19ms, render: 17ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1954µs, render: 3ms)
 GET /principal/mensalidades 200 in 52ms (compile: 37ms, render: 15ms)
 GET /manifest.webmanifest 200 in 7ms (compile: 2ms, render: 5ms)
 GET / 200 in 41ms (compile: 7ms, render: 34ms)
 GET /principal 200 in 14ms (compile: 3ms, render: 11ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 2ms, render: 3ms)
 GET /principal/financeiro 200 in 58ms (compile: 45ms, render: 14ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1587µs, render: 4ms)
 GET /principal/financeiro/lotes 200 in 447ms (compile: 366ms, render: 81ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1671µs, render: 3ms)
 GET /principal/financeiro 200 in 38ms (compile: 2ms, render: 36ms)
 GET /principal/financeiro/lotes 200 in 45ms (compile: 8ms, render: 37ms)
 GET /manifest.webmanifest 200 in 6ms (compile: 1646µs, render: 4ms)
 GET /principal/financeiro 200 in 32ms (compile: 1662µs, render: 30ms)
 GET /principal/financeiro/lotes 200 in 40ms (compile: 7ms, render: 33ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1650µs, render: 3ms)
 GET /principal 200 in 16ms (compile: 4ms, render: 12ms)
 GET /principal 200 in 11ms (compile: 1710µs, render: 9ms)
 GET /manifest.webmanifest 200 in 6ms (compile: 1821µs, render: 5ms)
 GET /principal/financeiro 200 in 14ms (compile: 1910µs, render: 12ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1445µs, render: 4ms)
 GET /principal/financeiro/retornos 404 in 51ms (compile: 7ms, render: 43ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1558µs, render: 1877µs)
 GET /manifest.webmanifest 200 in 4ms (compile: 1720µs, render: 2ms)
 GET / 200 in 26ms (compile: 1827µs, render: 25ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1315µs, render: 1864µs)
 GET /principal 200 in 11ms (compile: 1792µs, render: 9ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1999µs, render: 2ms)
 GET /principal/financeiro 200 in 12ms (compile: 1550µs, render: 11ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1387µs, render: 2ms)
 GET /principal/financeiro/retornos 404 in 45ms (compile: 6ms, render: 38ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1973µs, render: 2ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1351µs, render: 1729µs)
✓ Compiled in 81ms
 GET /principal/financeiro/retornos 200 in 102ms (compile: 74ms, render: 28ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1738µs, render: 2ms)
 GET /principal/financeiro/retornos 200 in 90ms (compile: 8ms, render: 82ms)
 GET / 200 in 24ms (compile: 1809µs, render: 22ms)
 GET /principal 200 in 11ms (compile: 1846µs, render: 9ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1246µs, render: 1995µs)
 GET /principal/financeiro 200 in 12ms (compile: 1609µs, render: 11ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1404µs, render: 1937µs)
 GET /principal/financeiro/retornos 200 in 34ms (compile: 6ms, render: 27ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1587µs, render: 2ms)
 GET / 200 in 44ms (compile: 8ms, render: 37ms)
 GET /manifest.webmanifest 200 in 6ms (compile: 1971µs, render: 4ms)
 GET /principal 200 in 15ms (compile: 3ms, render: 12ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1324µs, render: 2ms)
 GET /principal/financeiro 200 in 12ms (compile: 2ms, render: 10ms)
 GET /manifest.webmanifest 200 in 6ms (compile: 2ms, render: 4ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1520µs, render: 2ms)
 GET /principal/parcelas 200 in 71ms (compile: 56ms, render: 15ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 2ms, render: 3ms)
✓ Compiled in 84ms
 GET /principal/parcelas 200 in 187ms (compile: 79ms, render: 108ms)
 GET /principal/mensalidades 200 in 17ms (compile: 3ms, render: 15ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1647µs, render: 2ms)
 GET /principal/parcelas 200 in 16ms (compile: 1628µs, render: 14ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 2ms, render: 2ms)
✓ Compiled in 61ms
✓ Compiled in 50ms
✓ Compiled in 50ms
✓ Compiled in 121ms
✓ Compiled in 50ms
✓ Compiled in 53ms
✓ Compiled in 50ms
 GET /principal/parcelas 200 in 179ms (compile: 77ms, render: 103ms)
 GET /principal/mensalidades 200 in 15ms (compile: 2ms, render: 13ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1549µs, render: 3ms)
 GET /principal/parcelas 200 in 14ms (compile: 1587µs, render: 12ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1374µs, render: 2ms)
 GET /msinfor-admin 200 in 397ms (compile: 344ms, render: 53ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1277µs, render: 2ms)
✓ Compiled in 107ms
 GET /principal/parcelas 200 in 190ms (compile: 82ms, render: 108ms)
 GET /msinfor-admin 200 in 171ms (compile: 141ms, render: 30ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1588µs, render: 2ms)
 GET / 200 in 34ms (compile: 6ms, render: 28ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1447µs, render: 2ms)
 GET /principal 200 in 13ms (compile: 2ms, render: 11ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1355µs, render: 2ms)
 GET /principal/financeiro 200 in 16ms (compile: 6ms, render: 10ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1995µs, render: 2ms)
 GET /principal/financeiro/empresa 200 in 52ms (compile: 12ms, render: 40ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1562µs, render: 1948µs)
 GET /principal/financeiro/empresa 200 in 403ms (compile: 9ms, render: 394ms)
 GET /msinfor-admin 200 in 406ms (compile: 323ms, render: 83ms)
 GET /msinfor-admin 200 in 219ms (compile: 192ms, render: 28ms)
 GET /msinfor-admin 200 in 236ms (compile: 209ms, render: 28ms)
 GET /msinfor-admin 200 in 224ms (compile: 201ms, render: 22ms)
