
> frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.134:3000

✓ Starting...
✓ Ready in 692ms
 GET / 200 in 694ms (compile: 568ms, render: 126ms)
 GET /manifest.webmanifest 200 in 73ms (compile: 61ms, render: 11ms)
 GET /principal 200 in 43ms (compile: 30ms, render: 13ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1748µs, render: 3ms)
 GET /principal/caixa 404 in 75ms (compile: 61ms, render: 15ms)
 GET /principal/caixa 404 in 36ms (compile: 3ms, render: 33ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 2ms, render: 3ms)
 GET /principal 200 in 53ms (compile: 1896µs, render: 52ms)
✓ Compiled in 137ms
 GET /principal 200 in 167ms (compile: 101ms, render: 66ms)
 GET /principal 200 in 60ms (compile: 3ms, render: 57ms)
 GET /principal 200 in 65ms (compile: 3ms, render: 62ms)
 GET /principal 200 in 63ms (compile: 3ms, render: 60ms)
 GET /principal 200 in 66ms (compile: 3ms, render: 63ms)
 GET /principal 200 in 66ms (compile: 2ms, render: 64ms)
 GET /principal 200 in 70ms (compile: 2ms, render: 68ms)
 GET /principal 200 in 70ms (compile: 1809µs, render: 68ms)
 GET /principal 200 in 67ms (compile: 2ms, render: 65ms)
 GET /principal 200 in 66ms (compile: 1875µs, render: 64ms)
 GET /principal 200 in 50ms (compile: 2ms, render: 48ms)
 GET /principal 200 in 46ms (compile: 2ms, render: 44ms)
 GET /principal 200 in 41ms (compile: 2ms, render: 39ms)
 GET /principal 200 in 39ms (compile: 2ms, render: 36ms)
 GET /principal 200 in 38ms (compile: 1837µs, render: 37ms)
 GET /principal 200 in 46ms (compile: 3ms, render: 44ms)
 GET /principal 200 in 44ms (compile: 3ms, render: 41ms)
 GET /principal 200 in 47ms (compile: 2ms, render: 45ms)
 GET /principal 200 in 42ms (compile: 3ms, render: 39ms)
 GET /principal 200 in 50ms (compile: 2ms, render: 48ms)
 GET /principal 200 in 52ms (compile: 1755µs, render: 50ms)
 GET /principal 200 in 50ms (compile: 2ms, render: 48ms)
 GET /principal 200 in 51ms (compile: 1304µs, render: 50ms)
 GET /principal 200 in 38ms (compile: 1892µs, render: 37ms)
 GET /principal 200 in 36ms (compile: 1612µs, render: 35ms)
 GET /principal 200 in 56ms (compile: 1663µs, render: 54ms)
 GET /principal 200 in 45ms (compile: 2ms, render: 43ms)
